iter	RMSE
0	15.78192744
1	15.32865045
2	14.88982824
3	14.45942201
4	14.04732121
5	13.6436615
6	13.2552077
7	12.88011386
8	12.51587916
9	12.16270529
10	11.82103566
11	11.4862209
12	11.16238975
13	10.8459084
14	10.54007402
15	10.24549941
16	9.959703179
17	9.683253978
18	9.418702859
19	9.160964841
20	8.913192722
21	8.666545571
22	8.434329371
23	8.207976183
24	7.99035845
25	7.776555962
26	7.568673526
27	7.369351695
28	7.176180749
29	6.987115312
30	6.806147561
31	6.627902683
32	6.455621486
33	6.288623614
34	6.128211849
35	5.973711297
36	5.824409281
37	5.680492541
38	5.539612829
39	5.408832054
40	5.276250886
41	5.149461479
42	5.030976302
43	4.912025178
44	4.801477667
45	4.692864586
46	4.585869212
47	4.484026758
48	4.385254271
49	4.289955308
50	4.200571576
51	4.110694275
52	4.024821921
53	3.941567563
54	3.860731504
55	3.786531771
56	3.713143125
57	3.642869592
58	3.575165644
59	3.509619418
60	3.444847292
61	3.385264271
62	3.328102755
63	3.271784516
64	3.216865636
65	3.167403081
66	3.119037472
67	3.07228687
68	3.029146364
69	2.988573569
70	2.947662509
71	2.907417549
72	2.870242677
73	2.835038319
74	2.799662906
75	2.765661095
76	2.732955128
77	2.701539533
78	2.671958168
79	2.642680337
80	2.616826206
81	2.593000142
82	2.567727005
83	2.544326029
84	2.521508649
85	2.500655567
86	2.47832785
87	2.459898071
88	2.44334083
89	2.425728179
90	2.410272492
91	2.39530016
92	2.37994413
93	2.366142881
94	2.352883052
95	2.339025662
96	2.327854312
97	2.317391715
98	2.305663894
99	2.295808794
100	2.285135616
101	2.273059267
102	2.264373906
103	2.254253225
104	2.245938665
105	2.238667606
106	2.232268522
107	2.225186673
108	2.217752239
109	2.211961044
110	2.205057594
111	2.199250616
112	2.193948122
113	2.188859375
114	2.184437006
115	2.174728239
116	2.169323191
117	2.162569077
118	2.158055995
119	2.152743935
120	2.148615424
121	2.144351704
122	2.137909585
123	2.133047029
124	2.128619503
125	2.123272096
126	2.118033422
127	2.113327487
128	2.109002777
129	2.104954654
130	2.100889573
131	2.097125688
132	2.09357735
133	2.089767016
134	2.080220739
135	2.077097117
136	2.074404517
137	2.072299042
138	2.070636078
139	2.067444058
140	2.064041314
141	2.062355049
142	2.060431512
143	2.057559791
144	2.055456864
145	2.053428417
146	2.051547013
147	2.043644106
148	2.041102917
149	2.039538371
150	2.038488071
151	2.0365617
152	2.03541877
153	2.032131864
154	2.028709427
155	2.026263908
156	2.023732487
157	2.022727002
158	2.021088189
159	2.019687287
160	2.018690801
161	2.017751868
162	2.012619303
163	2.011041876
164	2.009154855
165	2.006708674
166	2.005183371
167	2.003272403
168	2.002257674
169	2.001507382
170	1.992758579
171	1.992131345
172	1.99044496
173	1.983350207
174	1.979717146
175	1.978720071
176	1.978263861
177	1.976731074
178	1.974501908
179	1.973068526
180	1.971881586
181	1.970581637
182	1.967596117
183	1.966479456
184	1.963851249
185	1.962278079
186	1.957979769
187	1.952728173
188	1.952204957
189	1.951233853
190	1.94448277
191	1.938780222
192	1.937876468
193	1.936897671
194	1.936568301
195	1.935749107
196	1.933812108
197	1.93148125
198	1.930330723
199	1.923371893
200	1.922520735
201	1.921432041
202	1.919812284
203	1.91445839
204	1.914100472
205	1.913579883
206	1.90851063
207	1.903555899
208	1.903236869
209	1.900210601
210	1.899416677
211	1.894014211
212	1.888127466
213	1.88668793
214	1.885875336
215	1.885048383
216	1.884080549
217	1.882946166
218	1.878737222
219	1.875678141
220	1.874180526
221	1.873440792
222	1.87240391
223	1.87097671
224	1.870517946
225	1.868501439
226	1.8675578
227	1.862980972
228	1.862376785
229	1.861541096
230	1.857635296
231	1.854201759
232	1.853556262
233	1.852058033
234	1.850818783
235	1.850510302
236	1.848950751
237	1.845367491
238	1.845021571
239	1.842714908
240	1.840121521
241	1.839959394
242	1.835670455
243	1.835015328
244	1.834750301
245	1.830827886
246	1.829866584
247	1.828956845
248	1.82834057
249	1.825863245
250	1.825294471
251	1.824176529
252	1.823423497
253	1.823109374
254	1.821577746
255	1.820356645
256	1.819478492
257	1.818366213
258	1.818017231
259	1.816750876
260	1.812825969
261	1.808803434
262	1.805435051
263	1.803797966
264	1.800844649
265	1.800505656
266	1.799581673
267	1.798985373
268	1.798662846
269	1.795709019
270	1.793597877
271	1.792186053
272	1.790540797
273	1.790319359
274	1.789941352
275	1.789149892
276	1.788352904
277	1.788139397
278	1.786726274
279	1.786188866
280	1.785821688
281	1.785358914
282	1.785057966
283	1.783342356
284	1.782765109
285	1.778824743
286	1.778451715
287	1.777820797
288	1.775172273
289	1.774963047
290	1.772606643
291	1.77232282
292	1.771744807
293	1.771559274
294	1.77031048
295	1.769427929
296	1.76725417
297	1.766823051
298	1.766360349
299	1.76503136
300	1.764813228
301	1.76135742
302	1.761070617
303	1.760800227
304	1.760401539
305	1.758794813
306	1.756922629
307	1.756547812
308	1.756261498
309	1.755904052
310	1.755564203
311	1.755089829
312	1.753398873
313	1.753202685
314	1.752912587
315	1.75114548
316	1.750980154
317	1.749208824
318	1.747022684
319	1.746847523
320	1.743773754
321	1.743183583
322	1.741530687
323	1.739261152
324	1.738440272
325	1.736868774
326	1.734741329
327	1.732813074
328	1.732404463
329	1.731170937
330	1.73081226
331	1.730489465
332	1.728853512
333	1.728059009
334	1.72667568
335	1.72632678
336	1.726031276
337	1.725368503
338	1.723389971
339	1.723049568
340	1.719421906
341	1.719001532
342	1.717024926
343	1.716522366
344	1.715046515
345	1.71466263
346	1.713751048
347	1.713115748
348	1.712803249
349	1.71015211
350	1.709572068
351	1.709343209
352	1.708721244
353	1.707037954
354	1.706828721
355	1.704479215
356	1.703455309
357	1.702495473
358	1.702117386
359	1.701842209
360	1.699327796
361	1.696378184
362	1.696177666
363	1.694729596
364	1.694444287
365	1.693806569
366	1.693488811
367	1.691067436
368	1.688733053
369	1.687222059
370	1.686899766
371	1.685433723
372	1.684480054
373	1.683860626
374	1.68352478
375	1.680445825
376	1.67839047
377	1.67810398
378	1.677765885
379	1.676684444
380	1.675993501
381	1.675787769
382	1.675219145
383	1.673555868
384	1.673146539
385	1.670294039
386	1.668812543
387	1.666352469
388	1.66622087
389	1.666023267
390	1.665878201
391	1.66427269
392	1.66227986
393	1.661943592
394	1.660235512
395	1.657919109
396	1.656599539
397	1.655209132
398	1.654630879
399	1.654373257
400	1.653535989
401	1.651860247
402	1.650183409
403	1.649969061
404	1.649413536
405	1.649038328
406	1.648679749
407	1.648373972
408	1.648045893
409	1.646309772
410	1.645835088
411	1.645390832
412	1.643236459
413	1.642932935
414	1.64225225
415	1.642089561
416	1.641409015
417	1.639459347
418	1.638937953
419	1.63811306
420	1.637821551
421	1.637314249
422	1.637150778
423	1.636065784
