iter	Passed	Remaining
0	41	124210
1	89	133861
2	138	138470
3	185	139103
4	234	140195
5	285	142399
6	334	143218
7	380	142392
8	430	143027
9	477	142715
10	522	141845
11	569	141683
12	615	141340
13	663	141415
14	713	141909
15	760	141760
16	809	142109
17	855	141810
18	901	141413
19	950	141571
20	998	141661
21	1044	141351
22	1089	140969
23	1134	140664
24	1181	140596
25	1230	140729
26	1280	140948
27	1325	140680
28	1373	140739
29	1420	140653
30	1467	140557
31	1525	141455
32	1582	142245
33	1628	142069
34	1673	141801
35	1723	141921
36	1769	141715
37	1814	141459
38	1859	141199
39	1903	140864
40	1950	140758
41	1995	140521
42	2040	140336
43	2086	140173
44	2131	139938
45	2178	139891
46	2225	139843
47	2272	139752
48	2320	139756
49	2369	139777
50	2415	139672
51	2460	139498
52	2519	140094
53	2567	140049
54	2612	139908
55	2657	139728
56	2703	139570
57	2747	139378
58	2792	139181
59	2838	139068
60	2884	138955
61	2932	138946
62	2978	138870
63	3026	138829
64	3077	138941
65	3125	138921
66	3175	138999
67	3221	138912
68	3271	138952
69	3316	138799
70	3367	138902
71	3422	139172
72	3470	139159
73	3515	138986
74	3564	139003
75	3616	139147
76	3664	139124
77	3711	139048
78	3758	138965
79	3803	138842
80	3849	138720
81	3896	138661
82	3945	138664
83	3992	138579
84	4043	138675
85	4091	138628
86	4142	138717
87	4187	138573
88	4232	138433
89	4278	138344
90	4330	138417
91	4376	138324
92	4424	138305
93	4477	138429
94	4528	138465
95	4575	138410
96	4619	138242
97	4666	138192
98	4714	138135
99	4757	137978
100	4795	137655
101	4843	137607
102	4890	137541
103	4935	137427
104	4973	137134
105	5014	136901
106	5057	136733
107	5103	136668
108	5152	136662
109	5200	136618
110	5246	136558
111	5300	136681
112	5348	136640
113	5392	136510
114	5438	136436
115	5476	136149
116	5523	136104
117	5571	136084
118	5618	136022
119	5668	136042
120	5718	136073
121	5767	136065
122	5817	136076
123	5867	136087
124	5914	136034
125	5963	136017
126	6011	135994
127	6057	135904
128	6105	135893
129	6153	135846
130	6201	135822
131	6250	135816
132	6297	135756
133	6347	135751
134	6395	135716
135	6442	135674
136	6489	135622
137	6536	135554
138	6585	135545
139	6632	135497
140	6679	135429
141	6728	135419
142	6776	135383
143	6822	135316
144	6876	135392
145	6925	135373
146	6972	135322
147	7020	135292
148	7067	135232
149	7112	135145
150	7158	135063
151	7205	135015
152	7251	134934
153	7301	134933
154	7348	134885
155	7396	134839
156	7441	134754
157	7490	134733
158	7530	134552
159	7576	134489
160	7623	134428
161	7668	134347
162	7716	134310
163	7764	134268
164	7810	134205
165	7858	134168
166	7905	134110
167	7953	134067
168	8013	134233
169	8066	134280
170	8114	134245
171	8168	134300
172	8220	134334
173	8276	134426
174	8327	134435
175	8372	134343
176	8417	134258
177	8462	134166
178	8507	134077
179	8555	134043
180	8602	133980
181	8647	133897
182	8693	133815
183	8739	133750
184	8785	133684
185	8833	133645
186	8878	133560
187	8926	133515
188	8971	133435
189	9016	133349
190	9063	133300
191	9111	133257
192	9156	133179
193	9195	132996
194	9241	132938
195	9277	132729
196	9323	132658
197	9370	132606
198	9417	132555
199	9464	132502
200	9512	132461
201	9559	132414
202	9609	132397
203	9655	132330
204	9700	132257
205	9747	132200
206	9791	132110
207	9830	131955
208	9877	131898
209	9925	131861
210	9972	131812
211	10019	131768
212	10066	131719
213	10113	131665
214	10161	131630
215	10209	131590
216	10260	131592
217	10307	131543
218	10356	131510
219	10403	131465
220	10451	131429
221	10497	131366
222	10545	131326
223	10595	131307
224	10642	131254
225	10687	131185
226	10734	131127
227	10779	131061
228	10826	131004
229	10873	130954
230	10923	130937
231	10968	130861
232	11015	130815
233	11063	130772
234	11111	130736
235	11158	130687
236	11204	130620
237	11250	130567
238	11297	130509
239	11342	130441
240	11390	130400
241	11436	130340
242	11482	130271
243	11530	130238
244	11580	130217
245	11624	130140
246	11670	130079
247	11718	130040
248	11765	129988
249	11809	129909
250	11855	129845
251	11903	129800
252	11949	129746
253	11997	129700
254	12044	129653
255	12093	129624
256	12141	129593
257	12188	129542
258	12234	129474
259	12282	129437
260	12329	129392
261	12375	129331
262	12423	129289
263	12470	129235
264	12516	129175
265	12569	129194
266	12616	129138
267	12661	129070
268	12706	128998
269	12753	128949
270	12800	128898
271	12848	128867
272	12897	128832
273	12942	128768
274	12987	128698
275	13033	128637
276	13082	128607
277	13131	128576
278	13178	128521
279	13225	128479
280	13271	128419
281	13318	128365
282	13361	128276
283	13406	128213
284	13454	128174
285	13492	128039
286	13540	127996
287	13586	127938
288	13633	127891
289	13679	127828
290	13725	127771
291	13770	127711
292	13820	127690
293	13875	127712
294	13934	127770
295	13985	127761
296	14043	127806
297	14090	127762
298	14141	127748
299	14190	127714
300	14237	127662
301	14281	127589
302	14317	127443
303	14368	127425
304	14417	127394
305	14466	127363
306	14524	127407
307	14575	127392
308	14625	127371
309	14671	127313
310	14722	127292
311	14768	127233
312	14805	127099
313	14840	126950
314	14880	126840
315	14927	126790
316	14973	126734
317	15023	126706
318	15073	126683
319	15120	126634
320	15167	126587
321	15213	126524
322	15261	126488
323	15309	126445
324	15356	126397
325	15403	126346
326	15450	126297
327	15497	126251
328	15543	126187
329	15588	126127
330	15636	126083
331	15688	126075
332	15740	126065
