id,vote_count,vote_average
1,495.0,5.1
2,1651.0,6.4
3,7723.0,8.4
4,120.0,7.5
5,9.0,5.7
6,8.0,5.4
7,895.0,5.9
8,29.0,7.4
9,159.0,6.4
10,115.0,6.9
11,3628.0,7.7
12,109.0,5.4
13,6379.0,8.0
14,455.0,5.5
15,4488.0,7.3
16,23.0,5.9
17,856.0,6.2
18,111.0,6.0
19,361.0,6.3
20,1758.0,6.2
21,613.0,5.2
22,516.0,5.8
23,593.0,5.9
24,15.0,5.0
25,315.0,5.7
26,52.0,5.5
27,117.0,7.1
28,1149.0,6.6
29,202.0,6.9
30,487.0,6.1
31,9722.0,8.2
32,430.0,7.1
33,2159.0,5.8
34,145.0,5.3
35,1411.0,6.2
36,1229.0,6.3
37,59.0,5.3
38,840.0,6.4
39,6.0,3.4
40,59.0,6.5
41,82.0,7.4
42,629.0,7.8
43,59.0,4.7
44,143.0,5.9
45,520.0,6.5
46,43.0,6.2
47,5658.0,6.6
48,7849.0,7.7
49,194.0,5.8
50,652.0,6.5
51,20.0,6.7
52,107.0,7.5
53,23.0,5.5
54,55.0,6.1
55,425.0,5.8
56,127.0,5.8
57,22.0,6.4
58,2598.0,4.2
59,47.0,6.5
60,66.0,6.0
61,5911.0,7.4
62,36.0,6.5
63,577.0,6.8
64,360.0,4.8
65,956.0,7.4
66,661.0,6.7
67,164.0,5.8
68,112.0,7.3
69,1281.0,8.0
70,3066.0,6.2
71,721.0,6.9
72,583.0,7.4
73,699.0,6.4
74,16.0,7.1
75,13.0,5.5
76,1007.0,6.0
77,13.0,6.9
78,570.0,6.7
79,40.0,6.0
80,361.0,5.2
81,131.0,6.4
82,130.0,5.8
83,1001.0,6.5
84,426.0,6.7
85,181.0,5.2
86,366.0,5.2
87,938.0,7.5
88,402.0,6.6
89,700.0,7.4
90,154.0,6.3
91,9160.0,7.9
92,233.0,7.3
93,56.0,6.4
94,546.0,7.3
95,2889.0,7.8
96,3.0,5.7
97,66.0,5.9
98,8.0,6.3
99,258.0,5.8
100,168.0,6.5
101,111.0,5.9
102,5346.0,7.8
103,28.0,7.4
104,63.0,6.3
105,38.0,5.0
106,402.0,7.2
107,151.0,6.3
108,5399.0,7.9
109,91.0,6.4
110,18.0,6.3
111,486.0,6.2
112,198.0,5.3
113,2097.0,6.6
114,106.0,6.4
115,14205.0,8.3
116,177.0,5.5
117,18.0,6.0
118,1175.0,5.8
119,87.0,4.6
120,245.0,6.2
121,1884.0,6.5
122,3500.0,7.4
123,28.0,5.3
124,535.0,5.9
125,5490.0,7.2
126,75.0,6.8
127,22.0,5.5
128,513.0,6.5
129,324.0,4.1
130,18.0,7.3
131,248.0,6.6
132,88.0,5.5
133,17.0,7.0
134,2910.0,6.3
135,353.0,6.2
136,24.0,6.9
137,30.0,5.4
138,57.0,6.3
139,971.0,5.8
140,5981.0,6.9
141,12.0,6.3
142,713.0,6.6
143,183.0,5.8
144,103.0,4.6
145,204.0,7.5
146,86.0,5.6
147,368.0,5.0
148,4631.0,6.8
149,923.0,5.6
150,104.0,5.0
151,6.0,5.7
152,57.0,7.1
153,54.0,6.9
154,1369.0,4.4
155,21.0,7.0
156,705.0,6.2
157,25.0,5.5
158,13.0,4.8
159,253.0,4.9
160,711.0,6.3
161,41.0,6.6
162,21.0,4.5
163,190.0,6.6
164,1160.0,7.5
165,374.0,5.5
166,8.0,2.1
167,267.0,8.0
168,1318.0,6.4
169,214.0,6.9
170,1656.0,7.4
171,623.0,5.9
172,128.0,7.1
173,53.0,6.7
174,321.0,5.6
175,244.0,5.8
176,5310.0,6.8
177,159.0,4.8
178,2.0,4.5
179,2712.0,7.3
180,889.0,6.2
181,406.0,6.4
182,171.0,7.7
183,67.0,6.1
184,508.0,7.3
185,3854.0,6.1
186,4.0,6.8
187,70.0,6.9
188,11.0,6.8
189,10587.0,8.0
190,68.0,5.8
191,182.0,5.0
192,1110.0,5.9
193,137.0,5.4
194,30.0,5.8
195,45.0,6.4
196,26.0,7.0
197,15.0,4.4
198,354.0,5.9
199,71.0,4.8
200,1204.0,6.7
201,604.0,5.9
202,160.0,5.5
203,402.0,5.8
204,4448.0,6.9
205,121.0,5.4
206,125.0,5.6
207,46.0,6.8
208,283.0,5.3
209,95.0,6.0
210,528.0,6.5
211,251.0,5.3
212,4860.0,7.6
213,30.0,5.6
214,40.0,5.9
215,552.0,6.4
216,2200.0,5.8
217,149.0,7.0
218,405.0,6.6
219,43.0,6.2
220,25.0,8.0
221,85.0,7.8
222,97.0,5.7
223,18.0,5.4
224,1527.0,6.7
225,6.0,7.5
226,183.0,6.1
227,941.0,5.3
228,703.0,7.0
229,472.0,7.7
230,15.0,5.4
231,1269.0,5.8
232,12.0,6.2
233,71.0,6.4
234,14.0,6.9
235,1361.0,6.2
236,201.0,6.0
237,116.0,5.1
238,17.0,7.2
239,2718.0,7.1
240,169.0,6.2
241,56.0,6.6
242,65.0,5.7
243,435.0,7.5
244,69.0,6.4
245,48.0,6.1
246,558.0,6.1
247,5098.0,6.8
248,1726.0,7.8
249,1452.0,6.1
250,239.0,7.0
251,187.0,6.4
252,230.0,5.8
253,170.0,5.1
254,5.0,7.4
255,1.0,8.0
256,444.0,6.4
257,2817.0,6.7
258,30.0,5.6
259,1401.0,7.9
260,6.0,7.9
261,10.0,6.1
262,883.0,5.7
263,88.0,6.7
264,101.0,5.8
265,55.0,6.1
266,1147.0,7.4
267,5597.0,7.8
268,1250.0,7.4
269,384.0,5.1
270,5.0,6.4
271,481.0,6.4
272,792.0,6.3
273,181.0,5.7
274,353.0,5.1
275,1613.0,6.6
276,82.0,6.6
277,8.0,6.1
278,607.0,5.7
279,166.0,5.3
280,2488.0,7.1
281,71.0,4.1
282,4083.0,6.5
283,16.0,5.9
284,149.0,6.5
285,1741.0,7.3
286,61.0,5.5
287,10082.0,7.2
288,40.0,4.1
289,112.0,5.4
290,223.0,6.1
291,1238.0,6.7
292,325.0,6.6
293,2203.0,7.4
294,42.0,7.3
295,7459.0,6.8
296,25.0,5.3
297,368.0,6.4
298,377.0,5.8
299,31.0,5.0
300,44.0,6.1
301,1519.0,6.6
302,6.0,6.8
303,64.0,6.0
304,38.0,5.7
305,87.0,5.5
306,3404.0,7.2
307,950.0,6.4
308,750.0,6.2
309,99.0,5.1
310,1949.0,6.2
311,920.0,5.9
312,355.0,7.8
313,14.0,4.9
314,33.0,5.9
315,2521.0,6.7
316,2056.0,7.5
317,561.0,6.4
318,5319.0,6.4
319,252.0,7.0
320,685.0,7.0
321,19.0,6.5
322,2049.0,5.8
323,10833.0,7.4
324,836.0,6.7
325,34.0,5.3
326,1552.0,5.5
327,331.0,6.6
328,1339.0,6.5
329,126.0,6.3
330,2729.0,6.0
331,39.0,5.4
332,76.0,6.7
333,136.0,6.0
334,53.0,7.1
335,10.0,6.6
336,347.0,6.8
337,9664.0,7.4
338,5.0,4.2
339,500.0,6.5
340,27.0,6.0
341,266.0,6.8
342,598.0,6.3
343,14.0,5.7
344,11.0,5.5
345,1666.0,6.1
346,64.0,4.7
347,3199.0,7.2
348,25.0,5.0
349,1407.0,7.9
350,93.0,7.2
351,2568.0,6.7
352,911.0,6.4
353,21.0,6.4
354,46.0,5.1
355,529.0,5.7
356,17.0,7.4
357,699.0,5.8
358,9935.0,8.2
359,323.0,6.1
360,2182.0,6.8
361,48.0,7.3
362,29.0,6.7
363,24.0,7.0
364,746.0,7.2
365,812.0,7.4
366,1063.0,6.9
367,353.0,6.2
368,882.0,6.0
369,216.0,5.7
370,806.0,5.1
371,26.0,7.6
372,30.0,5.2
373,698.0,6.1
374,476.0,7.5
375,48.0,5.4
376,228.0,6.3
377,266.0,5.8
378,735.0,7.6
379,435.0,5.3
380,105.0,6.7
381,3827.0,7.5
382,421.0,7.1
383,113.0,6.7
384,1231.0,6.7
385,789.0,6.8
386,1430.0,6.3
387,2.0,6.0
388,18.0,6.2
389,223.0,4.9
390,1603.0,6.0
391,289.0,5.8
392,134.0,7.2
393,50.0,6.1
394,1155.0,5.7
395,255.0,6.2
396,126.0,5.9
397,139.0,6.9
398,62.0,5.3
399,1348.0,7.3
400,248.0,6.5
401,246.0,5.9
402,23.0,7.2
403,87.0,6.8
404,51.0,5.2
405,93.0,5.2
406,1300.0,5.8
407,274.0,5.1
408,302.0,6.6
409,731.0,6.7
410,373.0,7.1
411,5017.0,7.9
412,400.0,6.9
413,1402.0,7.1
414,5.0,5.6
415,2946.0,6.0
416,366.0,6.2
417,305.0,7.9
418,23.0,5.6
419,735.0,6.4
420,25.0,6.1
421,3876.0,7.5
422,269.0,5.8
423,302.0,7.3
424,671.0,6.3
425,17.0,6.0
426,416.0,7.0
427,202.0,4.5
428,20.0,5.6
429,60.0,6.9
430,7983.0,8.1
431,666.0,6.4
432,3743.0,7.5
433,70.0,5.7
434,726.0,5.8
435,175.0,6.2
436,35.0,6.3
437,20.0,6.7
438,1704.0,6.2
439,255.0,6.8
440,199.0,7.4
441,3791.0,6.0
442,297.0,7.4
443,15.0,7.9
444,31.0,6.5
445,162.0,6.6
446,28.0,5.1
447,174.0,5.4
448,1494.0,6.1
449,1371.0,6.3
450,178.0,4.7
451,299.0,6.2
452,241.0,4.6
453,45.0,5.9
454,268.0,5.5
455,3.0,5.5
456,185.0,4.9
457,627.0,7.9
458,10.0,6.5
459,577.0,5.7
460,1413.0,6.8
461,18.0,6.8
462,937.0,6.2
463,2148.0,7.3
464,266.0,6.7
465,34.0,4.7
466,89.0,6.6
467,1799.0,6.7
468,577.0,6.4
469,546.0,6.1
470,837.0,6.1
471,2.0,5.0
472,10194.0,7.3
473,432.0,6.4
474,8.0,5.8
475,17.0,5.5
476,6.0,5.1
477,18.0,6.1
478,173.0,5.9
479,268.0,5.4
480,159.0,6.7
481,2.0,5.5
482,33.0,4.6
483,199.0,6.5
484,68.0,6.2
485,31.0,5.3
486,224.0,6.5
487,581.0,6.9
488,30.0,6.6
489,3687.0,6.6
490,25.0,6.1
491,953.0,7.8
492,372.0,6.1
493,352.0,5.9
494,238.0,6.2
495,41.0,6.2
496,49.0,5.5
497,133.0,5.6
498,415.0,5.7
499,17.0,8.0
500,3105.0,6.7
501,214.0,7.9
502,580.0,6.1
503,314.0,6.0
504,122.0,6.9
505,114.0,6.9
506,212.0,6.6
507,206.0,5.4
508,674.0,6.3
509,1070.0,7.1
510,507.0,4.8
511,654.0,8.1
512,1430.0,7.2
513,161.0,5.1
514,473.0,5.7
515,590.0,7.1
516,550.0,6.6
517,11.0,6.6
518,6298.0,7.9
519,12264.0,7.3
520,1295.0,7.1
521,252.0,6.0
522,24.0,7.9
523,2124.0,7.0
524,564.0,7.6
525,32.0,7.4
526,249.0,6.2
527,1166.0,6.2
528,384.0,4.2
529,346.0,5.9
530,1089.0,6.0
531,84.0,6.5
532,111.0,7.6
533,89.0,5.8
534,1935.0,6.0
535,125.0,6.2
536,181.0,6.2
537,5.0,5.0
538,2288.0,7.0
539,5261.0,7.8
540,123.0,6.5
541,1667.0,5.9
542,950.0,7.5
543,694.0,5.2
544,12249.0,8.3
545,23.0,6.4
546,17.0,3.9
547,587.0,6.8
548,137.0,6.0
549,1377.0,5.9
550,20.0,7.4
551,1849.0,6.8
552,4920.0,6.7
553,1147.0,6.0
554,134.0,5.7
555,178.0,7.0
556,174.0,7.7
557,270.0,7.1
558,125.0,5.4
559,1169.0,7.2
560,102.0,7.0
561,15.0,5.6
562,693.0,7.8
563,3944.0,6.7
564,1797.0,6.4
565,9.0,7.2
566,31.0,6.4
567,134.0,6.9
568,603.0,5.5
569,297.0,5.5
570,44.0,6.3
571,3202.0,7.2
572,583.0,6.1
573,781.0,6.3
574,98.0,6.0
575,1776.0,6.4
576,200.0,6.7
577,560.0,6.4
578,137.0,5.6
579,354.0,6.8
580,20.0,5.9
581,66.0,5.5
582,511.0,6.6
583,331.0,6.7
584,2928.0,7.0
585,14.0,6.6
586,345.0,8.1
587,2.0,9.0
588,1825.0,5.9
589,10.0,6.2
590,178.0,7.0
591,4.0,4.5
592,4.0,4.1
593,1794.0,7.4
594,1009.0,7.4
595,486.0,6.8
596,34.0,5.4
597,395.0,6.8
598,3389.0,7.6
599,91.0,6.6
600,1476.0,5.9
601,3072.0,6.8
602,209.0,5.7
603,1596.0,6.8
604,3828.0,7.5
605,194.0,6.6
606,206.0,6.5
607,61.0,6.5
608,31.0,6.9
609,57.0,5.9
610,165.0,5.9
611,213.0,6.7
612,1159.0,8.3
613,2355.0,7.5
614,283.0,5.7
615,309.0,7.4
616,65.0,6.7
617,14.0,7.1
618,618.0,5.6
619,546.0,7.0
620,274.0,7.8
621,493.0,6.4
622,58.0,7.8
623,334.0,6.7
624,1221.0,6.2
625,561.0,4.6
626,1152.0,7.7
627,102.0,6.8
628,116.0,6.2
629,401.0,6.9
630,20.0,6.8
631,783.0,7.0
632,103.0,7.0
633,369.0,5.5
634,5473.0,5.7
635,218.0,7.7
636,1909.0,7.1
637,40.0,3.8
638,1292.0,6.5
639,8.0,6.8
640,142.0,6.8
641,643.0,7.4
642,1204.0,7.4
643,1770.0,6.6
644,18.0,4.5
645,377.0,8.3
646,394.0,6.8
647,690.0,6.4
648,242.0,5.9
649,55.0,7.0
650,1235.0,6.9
651,684.0,7.4
652,99.0,6.0
653,13.0,6.7
654,103.0,7.3
655,514.0,7.0
656,345.0,6.3
657,328.0,6.6
658,177.0,6.7
659,754.0,7.3
660,817.0,5.7
661,7915.0,7.9
662,151.0,5.9
663,607.0,6.7
664,819.0,5.0
665,7.0,5.7
666,73.0,4.9
667,7569.0,7.6
668,93.0,5.5
669,122.0,6.0
670,301.0,6.1
671,110.0,7.4
672,46.0,6.1
673,694.0,6.7
674,337.0,6.3
675,491.0,5.1
676,94.0,6.1
677,3710.0,6.4
678,30.0,6.5
679,330.0,6.3
680,566.0,7.3
681,4264.0,6.4
682,1299.0,7.2
683,180.0,6.1
684,1329.0,5.3
685,10854.0,6.9
686,136.0,7.2
687,2338.0,6.8
688,87.0,4.7
689,60.0,5.8
690,7301.0,7.3
691,41.0,6.2
692,137.0,5.0
693,739.0,6.3
694,501.0,6.6
695,209.0,6.5
696,31.0,6.1
697,56.0,5.9
698,202.0,5.6
699,866.0,7.6
700,922.0,6.2
701,669.0,6.8
702,2571.0,6.2
703,4219.0,6.4
704,31.0,7.9
705,537.0,6.4
706,2831.0,8.3
707,38.0,7.3
708,133.0,6.2
709,2818.0,6.1
710,51.0,7.5
711,446.0,6.7
712,21.0,6.5
713,963.0,6.9
714,139.0,6.7
715,45.0,6.8
716,379.0,6.6
717,59.0,6.1
718,62.0,6.5
719,273.0,6.3
720,452.0,5.2
721,164.0,7.5
722,38.0,7.0
723,92.0,5.6
724,25.0,5.8
725,5047.0,5.8
726,1650.0,6.4
727,105.0,7.2
728,2114.0,6.2
729,15.0,5.9
730,1756.0,6.3
731,255.0,7.7
732,310.0,7.7
733,327.0,7.3
734,537.0,7.4
735,9786.0,7.7
736,542.0,5.0
737,144.0,7.0
738,21.0,6.2
739,2381.0,7.1
740,4473.0,7.4
741,153.0,6.4
742,6.0,5.0
743,616.0,7.0
744,276.0,4.6
745,622.0,6.6
746,529.0,7.6
747,135.0,6.1
748,1205.0,6.4
749,80.0,6.7
750,739.0,6.0
751,316.0,5.9
752,1684.0,6.4
753,2.0,8.8
754,792.0,5.9
755,1507.0,7.1
756,41.0,7.1
757,63.0,6.8
758,554.0,5.6
759,209.0,5.3
760,449.0,6.7
761,1101.0,7.2
762,848.0,5.9
763,1665.0,8.1
764,8959.0,6.7
765,34.0,5.8
766,1240.0,5.6
767,244.0,6.6
768,3433.0,7.1
769,150.0,6.4
770,74.0,5.3
771,768.0,6.6
772,46.0,7.0
773,72.0,6.1
774,2.0,6.5
775,386.0,5.7
776,27.0,7.2
777,1268.0,6.5
778,2703.0,5.8
779,4115.0,7.4
780,1299.0,6.8
781,585.0,6.0
782,83.0,5.9
783,6749.0,7.7
784,50.0,5.7
785,65.0,6.2
786,9.0,5.6
787,1641.0,6.3
788,36.0,5.4
789,113.0,7.5
790,332.0,7.4
791,183.0,7.2
792,3984.0,7.3
793,918.0,5.4
794,43.0,4.8
795,2291.0,7.3
796,562.0,5.6
797,73.0,7.5
798,293.0,6.1
799,69.0,5.8
800,2656.0,6.3
801,1772.0,6.7
802,288.0,6.2
803,45.0,5.8
804,2289.0,7.2
805,575.0,5.8
806,605.0,6.1
807,568.0,6.7
808,179.0,7.5
809,112.0,6.4
810,3804.0,5.9
811,2794.0,7.1
812,46.0,6.2
813,2173.0,6.8
814,121.0,6.5
815,648.0,5.8
816,1459.0,7.1
817,1275.0,6.5
818,27.0,5.6
819,832.0,5.8
820,27.0,6.1
821,204.0,5.7
822,86.0,7.0
823,575.0,6.1
824,40.0,6.4
825,945.0,5.9
826,1371.0,7.7
827,378.0,6.5
828,77.0,7.3
829,187.0,3.6
830,15.0,6.6
831,69.0,5.9
832,282.0,6.7
833,11926.0,7.6
834,698.0,5.6
835,663.0,5.8
836,11.0,5.3
837,204.0,6.2
838,14183.0,7.4
839,167.0,6.3
840,42.0,5.5
841,112.0,7.6
842,271.0,5.1
843,14.0,5.9
844,124.0,5.6
845,457.0,7.2
846,2816.0,7.3
847,848.0,6.6
848,39.0,5.7
849,58.0,6.8
850,1699.0,8.3
851,994.0,7.5
852,31.0,4.0
853,125.0,7.4
854,85.0,6.0
855,15.0,5.4
856,32.0,7.1
857,56.0,5.8
858,7343.0,7.3
859,186.0,6.1
860,330.0,7.1
861,81.0,5.8
862,2618.0,6.4
863,3.0,8.0
864,90.0,6.4
865,28.0,6.1
866,213.0,6.7
867,30.0,7.1
868,25.0,6.1
869,1086.0,7.5
870,435.0,6.5
871,146.0,6.1
872,141.0,5.9
873,20.0,7.1
874,206.0,5.7
875,2382.0,6.1
876,348.0,6.6
877,48.0,6.6
878,656.0,6.0
879,38.0,4.2
880,1008.0,5.7
881,210.0,6.0
882,8523.0,6.6
883,1995.0,4.8
884,2248.0,6.5
885,13.0,6.0
886,185.0,6.6
887,5.0,6.3
888,1118.0,7.3
889,1122.0,6.3
890,55.0,5.0
891,25.0,5.6
892,415.0,5.1
893,22.0,7.3
894,176.0,6.4
895,398.0,6.1
896,32.0,6.8
897,2147.0,6.8
898,529.0,7.0
899,99.0,5.6
900,50.0,7.2
901,453.0,5.1
902,33.0,7.7
903,4352.0,5.8
904,31.0,5.8
905,1153.0,6.0
906,1893.0,7.4
907,13697.0,7.7
908,568.0,7.3
909,262.0,6.6
910,338.0,5.5
911,93.0,6.7
912,57.0,7.2
913,422.0,6.0
914,380.0,6.6
915,501.0,7.0
916,243.0,7.4
917,310.0,6.9
918,40.0,5.0
919,19.0,6.8
920,20.0,5.5
921,59.0,5.7
922,406.0,5.2
923,790.0,6.9
924,51.0,6.8
925,32.0,5.8
926,139.0,5.9
927,814.0,6.2
928,3350.0,5.6
929,114.0,4.5
930,413.0,6.7
931,559.0,5.2
932,3.0,8.3
933,1640.0,6.5
934,3048.0,5.5
935,5462.0,7.0
936,33.0,6.4
937,17.0,7.9
938,191.0,6.3
939,79.0,6.3
940,19.0,6.9
941,140.0,6.8
942,7988.0,7.0
943,1349.0,6.9
944,164.0,6.1
945,84.0,6.3
946,109.0,5.6
947,3062.0,6.1
948,11.0,5.9
949,1559.0,6.4
950,40.0,5.9
951,17.0,4.5
952,143.0,5.4
953,0.0,0.0
954,1072.0,5.7
955,355.0,6.2
956,21.0,6.6
957,183.0,6.9
958,80.0,4.7
959,4485.0,7.2
960,325.0,6.5
961,527.0,6.5
962,10295.0,7.6
963,2864.0,6.6
964,53.0,5.6
965,278.0,8.0
966,256.0,5.9
967,577.0,7.0
968,173.0,7.1
969,1689.0,5.1
970,4571.0,6.1
971,23.0,5.8
972,5767.0,7.5
973,743.0,7.7
974,2642.0,7.4
975,1086.0,6.7
976,218.0,5.4
977,448.0,6.5
978,282.0,6.2
979,694.0,6.3
980,8.0,4.9
981,638.0,5.3
982,39.0,6.6
983,187.0,6.1
984,722.0,6.4
985,1841.0,5.8
986,4.0,5.5
987,32.0,6.3
988,809.0,6.5
989,1331.0,7.6
990,28.0,3.3
991,201.0,7.7
992,34.0,5.9
993,117.0,7.7
994,342.0,6.8
995,177.0,6.2
996,115.0,6.0
997,336.0,6.6
998,4686.0,7.4
999,1099.0,5.8
1000,209.0,7.9
1001,162.0,6.1
1002,429.0,6.4
1003,317.0,6.7
1004,175.0,7.0
1005,346.0,7.3
1006,1558.0,6.7
1007,5.0,3.8
1008,0.0,0.0
1009,409.0,5.9
1010,915.0,7.5
1011,1709.0,5.8
1012,419.0,7.1
1013,4143.0,7.3
1014,270.0,7.4
1015,229.0,5.8
1016,18.0,6.2
1017,1266.0,6.7
1018,1126.0,6.2
1019,6618.0,6.8
